Order ID,Customer Name,Region,Product,Sales Amount,Order Date,Status,Quantity,City
1001,Alice Johnson,North,Laptop,1200.00,2024-01-05,Completed,1,New York
1002,,South,Phone,450.00,2024-01-08,Completed,2,Atlanta
1003,Bob Smith,North,Laptop,1200.00,2024-01-09,completed,1,Chicago
1004,Carol White,West,Tablet,320.00,2024/02/12,Completed,3,Los Angeles
1005,David Lee,East,Monitor,250.00,2024-02-14,Pending,1,Boston
1006,alice johnson,North,Laptop,1200.00,2024-01-05,Completed,1,New York
1007,Eve Brown,South,Phone,480.00,2024-03-01,Completed,2,Miami
1008,Frank Green,West,Laptop,1550.00,,Completed,1,San Diego
1009,Grace Hall,East,,620.00,2024-03-18,Completed,2,Seattle
1010,Henry Clark,Central,Printer,180.00,2024-03-20,Cancelled,1,Denver
1011,Ivy Adams,Central,Printer,180.00,2024-03-20,Cancelled,1,Denver
1012,Jack Wright,West,Tablet,340.00,2024-04-02,Completed,4,San Jose
1013,Karen Scott,North,Monitor,260.00,2024-04-04,Completed,1,Chicago
1014,,South,Phone,430.00,2024-04-06,Completed,2,Atlanta
1015,Liam Harris,East,Keyboard,75.00,2024-04-07,Completed,3,New York
1016,Mia Lewis,East,Monitor,260.00,2024/04/09,Completed,1,Boston
1017,Nina King,West,Laptop,1600.00,2024-04-10,Completed,1,Los Angeles
1018,Olivia Martin,North,Mouse,45.00,2024-04-12,Completed,1,Chicago
1019,Peter Young,South,Phone,450.00,2024-04-15,Pending,2,Miami
1020,Quinn Lopez,Central,Printer,190.00,2024-04-18,Completed,1,Denver
1021,Rachel Perez,East,Keyboard,80.00,2024-04-20,Completed,2,Seattle
1022,alice johnson,North,Laptop,1200.00,2024-01-05,Completed,1,New York
1023,Sophia Taylor,West,Tablet,330.00,2024-04-23,Completed,3,San Jose
1024,Thomas Moore,North,Monitor,270.00,2024-04-25,Shipped,1,Chicago
1025,Uma Walker,South,Laptop,1400.00,2024-04-28,Completed,1,Atlanta
